work_id_1,work_id_2,work_name_1,work_name_2,district,work_type,name_similarity,geo_proximity_score,cost_similarity,time_overlap_score,duplicate_risk_score
WRK00001,WRK00067,Anganwadi Center at District_3 Sector 28,Anganwadi Center at District_3 Sector 6,District_3,Anganwadi Center,96.2,37.3,89.3,31.2,64.5
WRK00292,WRK00298,Water Supply at District_12 Sector 1,Water Supply at District_12 Sector 19,District_12,Water Supply,98.6,100.0,0.0,0.0,64.5
WRK00482,WRK00585,Road Construction at District_10 Sector 28,Road Construction at District_10 Sector 28,District_10,Road Construction,100.0,63.2,69.7,0.0,64.4
WRK00273,WRK00357,School Building at District_1 Sector 36,School Building at District_1 Sector 1,District_1,School Building,96.1,34.6,94.9,30.7,64.4
WRK00079,WRK00148,School Building at District_3 Sector 4,School Building at District_3 Sector 37,District_3,School Building,96.1,95.7,0.0,10.3,64.4
WRK00147,WRK00427,Water Supply at District_2 Sector 16,Water Supply at District_2 Sector 38,District_2,Water Supply,94.4,76.1,55.8,0.0,64.3
WRK00151,WRK00308,Irrigation Canal at District_3 Sector 34,Irrigation Canal at District_3 Sector 2,District_3,Irrigation Canal,96.2,26.0,95.8,42.2,64.3
WRK00014,WRK00340,Road Construction at District_4 Sector 22,Road Construction at District_4 Sector 1,District_4,Road Construction,96.3,58.5,0.0,64.9,64.3
WRK00220,WRK00240,Water Supply at District_6 Sector 33,Water Supply at District_6 Sector 4,District_6,Water Supply,95.8,68.2,4.2,48.5,64.3
WRK00054,WRK00271,Drainage at District_9 Sector 14,Drainage at District_9 Sector 13,District_9,Drainage,96.9,65.8,0.0,53.4,64.3
WRK00131,WRK00154,Anganwadi Center at District_8 Sector 30,Anganwadi Center at District_8 Sector 36,District_8,Anganwadi Center,97.5,62.2,0.0,57.7,64.3
WRK00081,WRK00350,Anganwadi Center at District_6 Sector 38,Anganwadi Center at District_6 Sector 36,District_6,Anganwadi Center,97.5,24.7,75.5,57.3,64.3
WRK00075,WRK00419,Road Construction at District_1 Sector 38,Road Construction at District_1 Sector 1,District_1,Road Construction,96.3,36.7,33.2,72.7,64.2
WRK00241,WRK00551,School Building at District_8 Sector 20,School Building at District_8 Sector 14,District_8,School Building,94.9,22.2,92.6,51.6,64.1
WRK00242,WRK00452,Bridge at District_3 Sector 1,Bridge at District_3 Sector 39,District_3,Bridge,94.9,63.8,0.0,58.6,64.1
WRK00530,WRK00574,Bridge at District_8 Sector 24,Bridge at District_8 Sector 8,District_8,Bridge,94.9,81.8,0.0,31.9,64.1
WRK00206,WRK00571,School Building at District_3 Sector 10,School Building at District_3 Sector 7,District_3,School Building,96.1,73.1,0.0,42.0,64.0
WRK00035,WRK00174,Road Construction at District_1 Sector 5,Road Construction at District_1 Sector 23,District_1,Road Construction,96.3,46.1,25.3,63.4,64.0
WRK00127,WRK00400,Bridge at District_8 Sector 11,Bridge at District_8 Sector 37,District_8,Bridge,93.3,42.7,92.8,23.1,64.0
WRK00183,WRK00249,Road Construction at District_2 Sector 37,Road Construction at District_2 Sector 9,District_2,Road Construction,96.3,29.9,92.1,37.1,63.9
WRK00034,WRK00547,Water Supply at District_8 Sector 23,Water Supply at District_8 Sector 6,District_8,Water Supply,95.8,36.9,91.7,27.9,63.9
WRK00310,WRK00352,Anganwadi Center at District_2 Sector 12,Anganwadi Center at District_2 Sector 32,District_2,Anganwadi Center,97.5,81.4,0.0,26.1,63.8
WRK00352,WRK00591,Anganwadi Center at District_2 Sector 32,Anganwadi Center at District_2 Sector 28,District_2,Anganwadi Center,97.5,15.6,91.8,56.0,63.8
WRK00283,WRK00311,Road Construction at District_10 Sector 3,Road Construction at District_10 Sector 22,District_10,Road Construction,96.4,100.0,0.0,0.0,63.7
WRK00266,WRK00487,Community Hall at District_10 Sector 8,Community Hall at District_10 Sector 33,District_10,Community Hall,96.1,9.8,81.8,74.4,63.7
WRK00287,WRK00457,Road Construction at District_7 Sector 10,Road Construction at District_7 Sector 33,District_7,Road Construction,95.1,100.0,2.5,0.0,63.7
WRK00361,WRK00547,Water Supply at District_8 Sector 2,Water Supply at District_8 Sector 6,District_8,Water Supply,97.1,27.7,83.3,44.5,63.7
WRK00312,WRK00562,Water Supply at District_10 Sector 30,Water Supply at District_10 Sector 16,District_10,Water Supply,94.6,63.9,60.2,11.6,63.6
WRK00033,WRK00521,School Building at District_10 Sector 15,School Building at District_10 Sector 12,District_10,School Building,97.5,96.3,0.0,2.4,63.5
WRK00029,WRK00251,Irrigation Canal at District_7 Sector 23,Irrigation Canal at District_7 Sector 5,District_7,Irrigation Canal,96.2,71.3,0.0,42.2,63.5
WRK00336,WRK00366,Anganwadi Center at District_11 Sector 12,Anganwadi Center at District_11 Sector 8,District_11,Anganwadi Center,96.3,52.6,0.0,70.0,63.5
WRK00503,WRK00536,Water Supply at District_7 Sector 26,Water Supply at District_7 Sector 22,District_7,Water Supply,97.2,55.7,0.0,63.4,63.4
WRK00029,WRK00031,Irrigation Canal at District_7 Sector 23,Irrigation Canal at District_7 Sector 6,District_7,Irrigation Canal,96.2,20.8,74.5,61.5,63.4
WRK00314,WRK00407,Anganwadi Center at District_5 Sector 24,Anganwadi Center at District_5 Sector 10,District_5,Anganwadi Center,95.0,26.2,79.7,51.4,63.4
WRK00084,WRK00146,Water Supply at District_2 Sector 35,Water Supply at District_2 Sector 6,District_2,Water Supply,95.8,26.8,78.3,50.3,63.4
WRK00361,WRK00599,Water Supply at District_8 Sector 2,Water Supply at District_8 Sector 36,District_8,Water Supply,95.8,99.0,0.0,0.0,63.2
WRK00324,WRK00337,Anganwadi Center at District_1 Sector 6,Anganwadi Center at District_1 Sector 9,District_1,Anganwadi Center,97.4,20.4,91.9,45.5,63.1
WRK00273,WRK00581,School Building at District_1 Sector 36,School Building at District_1 Sector 19,District_1,School Building,94.9,83.0,0.0,24.9,63.1
WRK00092,WRK00325,Community Hall at District_5 Sector 14,Community Hall at District_5 Sector 19,District_5,Community Hall,97.4,60.2,0.0,54.3,63.0
WRK00185,WRK00369,School Building at District_12 Sector 20,School Building at District_12 Sector 22,District_12,School Building,97.5,12.8,50.0,87.4,63.0
WRK00027,WRK00473,Drainage at District_11 Sector 15,Drainage at District_11 Sector 8,District_11,Drainage,95.4,98.7,0.0,0.0,63.0
WRK00066,WRK00427,Water Supply at District_2 Sector 11,Water Supply at District_2 Sector 38,District_2,Water Supply,94.4,99.7,0.0,0.0,63.0
WRK00544,WRK00590,School Building at District_11 Sector 32,School Building at District_11 Sector 16,District_11,School Building,95.0,7.2,70.7,84.2,62.9
WRK00289,WRK00309,School Building at District_11 Sector 7,School Building at District_11 Sector 2,District_11,School Building,97.4,46.5,35.5,47.7,62.9
WRK00066,WRK00147,Water Supply at District_2 Sector 11,Water Supply at District_2 Sector 16,District_2,Water Supply,97.2,70.5,0.0,37.9,62.8
WRK00389,WRK00515,Bridge at District_11 Sector 28,Bridge at District_11 Sector 38,District_11,Bridge,96.8,41.6,98.2,8.5,62.8
WRK00020,WRK00117,School Building at District_7 Sector 8,School Building at District_7 Sector 39,District_7,School Building,96.1,44.6,0.0,78.7,62.8
WRK00195,WRK00258,Water Supply at District_1 Sector 1,Water Supply at District_1 Sector 4,District_1,Water Supply,97.1,43.9,4.1,75.1,62.8
WRK00184,WRK00422,School Building at District_1 Sector 13,School Building at District_1 Sector 14,District_1,School Building,97.4,75.3,3.3,28.0,62.8
WRK00195,WRK00320,Water Supply at District_1 Sector 1,Water Supply at District_1 Sector 17,District_1,Water Supply,98.6,55.0,78.3,0.0,62.8
WRK00318,WRK00547,Water Supply at District_8 Sector 2,Water Supply at District_8 Sector 6,District_8,Water Supply,97.1,21.6,99.4,36.5,62.7
WRK00226,WRK00597,Bridge at District_1 Sector 2,Bridge at District_1 Sector 26,District_1,Bridge,98.3,0.0,95.1,70.3,62.7
WRK00386,WRK00537,Irrigation Canal at District_5 Sector 32,Irrigation Canal at District_5 Sector 38,District_5,Irrigation Canal,97.5,39.9,0.0,82.8,62.7
WRK00311,WRK00428,Road Construction at District_10 Sector 22,Road Construction at District_10 Sector 38,District_10,Road Construction,95.2,59.4,75.7,0.0,62.5
WRK00009,WRK00354,Anganwadi Center at District_5 Sector 18,Anganwadi Center at District_5 Sector 21,District_5,Anganwadi Center,97.5,81.2,0.0,20.1,62.5
WRK00175,WRK00275,Bridge at District_6 Sector 8,Bridge at District_6 Sector 1,District_6,Bridge,96.6,9.7,60.4,83.4,62.4
WRK00316,WRK00417,Water Supply at District_8 Sector 1,Water Supply at District_8 Sector 18,District_8,Water Supply,98.6,32.8,0.0,90.4,62.4
WRK00159,WRK00226,Bridge at District_1 Sector 28,Bridge at District_1 Sector 2,District_1,Bridge,98.3,87.5,3.1,6.5,62.4
WRK00012,WRK00349,Irrigation Canal at District_12 Sector 18,Irrigation Canal at District_12 Sector 4,District_12,Irrigation Canal,96.3,56.3,0.0,59.0,62.4
WRK00250,WRK00518,Bridge at District_4 Sector 39,Bridge at District_4 Sector 34,District_4,Bridge,96.7,36.1,83.4,26.1,62.4
WRK00068,WRK00104,Road Construction at District_2 Sector 24,Road Construction at District_2 Sector 17,District_2,Road Construction,95.1,37.7,0.0,88.7,62.3
WRK00135,WRK00537_DUP,Irrigation Canal at District_5 Sector 8,Irrigation Canal at District_5 Sector 38 Phase,District_5,Irrigation Canal,91.8,56.2,20.6,51.4,62.3
WRK00064,WRK00488,Drainage at District_12 Sector 18,Drainage at District_12 Sector 14,District_12,Drainage,97.0,94.4,0.0,0.0,62.3
WRK00079,WRK00202,School Building at District_3 Sector 4,School Building at District_3 Sector 28,District_3,School Building,96.1,45.2,24.1,57.0,62.2
WRK00182,WRK00262,School Building at District_3 Sector 14,School Building at District_3 Sector 24,District_3,School Building,97.4,93.7,0.0,0.0,62.2
WRK00026,WRK00458,Drainage at District_2 Sector 21,Drainage at District_2 Sector 37,District_2,Drainage,93.8,65.0,0.0,49.1,62.2
WRK00087,WRK00178,Bridge at District_2 Sector 32,Bridge at District_2 Sector 22,District_2,Bridge,96.7,42.7,0.0,77.4,62.1
WRK00338,WRK00429,Community Hall at District_4 Sector 30,Community Hall at District_4 Sector 8,District_4,Community Hall,96.0,60.1,15.6,40.4,62.1
WRK00224,WRK00414,Irrigation Canal at District_8 Sector 33,Irrigation Canal at District_8 Sector 6,District_8,Irrigation Canal,96.2,20.0,67.9,61.1,62.1
WRK00157,WRK00166,Community Hall at District_5 Sector 6,Community Hall at District_5 Sector 29,District_5,Community Hall,96.0,22.6,78.8,48.7,62.0
WRK00111,WRK00270,Water Supply at District_2 Sector 17,Water Supply at District_2 Sector 28,District_2,Water Supply,94.4,18.6,74.9,60.9,62.0
WRK00535,WRK00591,Anganwadi Center at District_2 Sector 16,Anganwadi Center at District_2 Sector 28,District_2,Anganwadi Center,95.0,89.3,0.0,9.9,62.0
WRK00297,WRK00591,Anganwadi Center at District_2 Sector 13,Anganwadi Center at District_2 Sector 28,District_2,Anganwadi Center,95.0,51.2,0.0,67.0,62.0
WRK00365,WRK00573,Road Construction at District_2 Sector 19,Road Construction at District_2 Sector 38,District_2,Road Construction,95.1,48.5,94.3,0.0,62.0
WRK00381,WRK00470,Bridge at District_4 Sector 29,Bridge at District_4 Sector 4,District_4,Bridge,94.9,89.2,0.0,9.9,62.0
WRK00273,WRK00508,School Building at District_1 Sector 36,School Building at District_1 Sector 24,District_1,School Building,94.9,61.5,0.0,51.7,62.0
WRK00089,WRK00349,Irrigation Canal at District_12 Sector 6,Irrigation Canal at District_12 Sector 4,District_12,Irrigation Canal,97.5,52.9,0.0,59.4,61.9
WRK00318,WRK00361,Water Supply at District_8 Sector 2,Water Supply at District_8 Sector 2,District_8,Water Supply,100.0,21.2,82.7,40.7,61.9
WRK00034,WRK00318,Water Supply at District_8 Sector 23,Water Supply at District_8 Sector 2,District_8,Water Supply,98.6,45.0,92.2,0.0,61.9
WRK00122,WRK00430,Community Hall at District_6 Sector 23,Community Hall at District_6 Sector 16,District_6,Community Hall,94.7,43.0,0.0,78.8,61.8
WRK00038,WRK00507,Bridge at District_11 Sector 20,Bridge at District_11 Sector 30,District_11,Bridge,96.8,60.0,0.0,49.7,61.8
WRK00062,WRK00561,Bridge at District_9 Sector 31,Bridge at District_9 Sector 7,District_9,Bridge,94.9,55.0,0.0,60.4,61.8
WRK00124,WRK00598,Water Supply at District_2 Sector 13,Water Supply at District_2 Sector 18,District_2,Water Supply,97.2,84.8,0.0,11.7,61.8
WRK00074,WRK00447,Irrigation Canal at District_4 Sector 17,Irrigation Canal at District_4 Sector 24,District_4,Irrigation Canal,95.0,60.4,49.6,14.7,61.8
WRK00067,WRK00439,Anganwadi Center at District_3 Sector 6,Anganwadi Center at District_3 Sector 23,District_3,Anganwadi Center,96.2,19.7,84.0,47.4,61.7
WRK00165,WRK00200,Road Construction at District_8 Sector 8,Road Construction at District_8 Sector 34,District_8,Road Construction,96.3,87.0,0.0,8.8,61.6
WRK00196,WRK00480,Anganwadi Center at District_6 Sector 14,Anganwadi Center at District_6 Sector 17,District_6,Anganwadi Center,97.5,44.1,41.5,40.3,61.6
WRK00206,WRK00557,School Building at District_3 Sector 10,School Building at District_3 Sector 6,District_3,School Building,96.1,33.0,83.0,28.1,61.6
WRK00075,WRK00174,Road Construction at District_1 Sector 38,Road Construction at District_1 Sector 23,District_1,Road Construction,97.6,34.3,93.9,14.9,61.5
WRK00314,WRK00554,Anganwadi Center at District_5 Sector 24,Anganwadi Center at District_5 Sector 29,District_5,Anganwadi Center,97.5,80.1,0.0,16.5,61.5
WRK00142,WRK00535,Anganwadi Center at District_2 Sector 9,Anganwadi Center at District_2 Sector 16,District_2,Anganwadi Center,96.2,52.2,0.0,60.9,61.5
WRK00441,WRK00556,Road Construction at District_12 Sector 28,Road Construction at District_12 Sector 2,District_12,Road Construction,98.8,34.5,83.7,20.1,61.5
WRK00187,WRK00320,Water Supply at District_1 Sector 28,Water Supply at District_1 Sector 17,District_1,Water Supply,94.4,58.4,0.0,54.2,61.4
WRK00152,WRK00277,Drainage at District_10 Sector 32,Drainage at District_10 Sector 19,District_10,Drainage,93.9,13.5,80.3,62.4,61.4
WRK00306,WRK00413,Road Construction at District_9 Sector 3,Road Construction at District_9 Sector 22,District_9,Road Construction,96.3,28.7,45.4,61.5,61.4
WRK00143,WRK00306,Road Construction at District_9 Sector 31,Road Construction at District_9 Sector 3,District_9,Road Construction,98.8,78.6,0.0,16.1,61.4
WRK00246,WRK00441,Road Construction at District_12 Sector 37,Road Construction at District_12 Sector 28,District_12,Road Construction,95.2,50.4,0.0,64.2,61.3
WRK00136,WRK00236,Bridge at District_9 Sector 7,Bridge at District_9 Sector 15,District_9,Bridge,94.9,38.2,74.5,27.3,61.3
WRK00271,WRK00383,Drainage at District_9 Sector 13,Drainage at District_9 Sector 31,District_9,Drainage,96.9,53.8,0.0,56.2,61.3
WRK00082,WRK00398,Anganwadi Center at District_2 Sector 7,Anganwadi Center at District_2 Sector 24,District_2,Anganwadi Center,96.2,76.1,0.0,23.9,61.3
WRK00314,WRK00492,Anganwadi Center at District_5 Sector 24,Anganwadi Center at District_5 Sector 26,District_5,Anganwadi Center,97.5,90.2,0.0,0.0,61.2
WRK00068,WRK00183,Road Construction at District_2 Sector 24,Road Construction at District_2 Sector 37,District_2,Road Construction,95.1,61.8,34.9,20.6,61.2
WRK00400,WRK00530,Bridge at District_8 Sector 37,Bridge at District_8 Sector 24,District_8,Bridge,93.3,82.9,0.0,18.4,61.2
WRK00142,WRK00153,Anganwadi Center at District_2 Sector 9,Anganwadi Center at District_2 Sector 24,District_2,Anganwadi Center,96.2,19.3,70.6,55.6,61.2
WRK00151,WRK00169,Irrigation Canal at District_3 Sector 34,Irrigation Canal at District_3 Sector 3,District_3,Irrigation Canal,98.7,21.8,0.0,100.0,61.1
WRK00556,WRK00569,Road Construction at District_12 Sector 2,Road Construction at District_12 Sector 14,District_12,Road Construction,96.4,37.3,8.5,74.5,61.1
WRK00247,WRK00305,Community Hall at District_1 Sector 30,Community Hall at District_1 Sector 35,District_1,Community Hall,97.4,14.3,77.1,55.8,61.1
WRK00063,WRK00231,Drainage at District_6 Sector 4,Drainage at District_6 Sector 29,District_6,Drainage,95.2,31.9,0.0,91.0,61.1
WRK00202,WRK00483,School Building at District_3 Sector 28,School Building at District_3 Sector 39,District_3,School Building,94.9,37.7,22.2,65.8,61.0
WRK00204,WRK00379,Irrigation Canal at District_12 Sector 1,Irrigation Canal at District_12 Sector 25,District_12,Irrigation Canal,96.3,90.9,0.0,0.0,61.0
WRK00088,WRK00394,Drainage at District_6 Sector 31,Drainage at District_6 Sector 19,District_6,Drainage,96.9,44.4,0.0,69.1,61.0
WRK00010,WRK00339,Water Supply at District_2 Sector 6,Water Supply at District_2 Sector 28,District_2,Water Supply,95.8,30.1,67.2,41.2,60.9
WRK00110,WRK00598,Water Supply at District_2 Sector 17,Water Supply at District_2 Sector 18,District_2,Water Supply,97.2,64.6,49.7,0.0,60.9
WRK00124,WRK00427,Water Supply at District_2 Sector 13,Water Supply at District_2 Sector 38,District_2,Water Supply,97.2,83.2,0.0,9.5,60.9
WRK00295,WRK00368,Community Hall at District_1 Sector 15,Community Hall at District_1 Sector 14,District_1,Community Hall,97.4,38.0,0.0,77.0,60.9
WRK00004,WRK00531,Drainage at District_10 Sector 19,Drainage at District_10 Sector 32,District_10,Drainage,93.9,27.7,41.0,68.0,60.9
WRK00212,WRK00534,Bridge at District_5 Sector 14,Bridge at District_5 Sector 13,District_5,Bridge,96.7,61.5,0.0,43.1,60.9
WRK00099,WRK00406,Drainage at District_9 Sector 25,Drainage at District_9 Sector 8,District_9,Drainage,95.2,91.8,0.0,0.0,60.9
WRK00079,WRK00557,School Building at District_3 Sector 4,School Building at District_3 Sector 6,District_3,School Building,97.4,52.2,1.9,54.5,60.9
WRK00220,WRK00423,Water Supply at District_6 Sector 33,Water Supply at District_6 Sector 7,District_6,Water Supply,95.8,61.0,0.0,45.3,60.9
WRK00508,WRK00581,School Building at District_1 Sector 24,School Building at District_1 Sector 19,District_1,School Building,94.9,91.9,0.0,0.0,60.8
WRK00380,WRK00555,Drainage at District_8 Sector 11,Drainage at District_8 Sector 6,District_8,Drainage,95.2,22.7,29.1,81.1,60.7
WRK00446,WRK00536,Water Supply at District_7 Sector 7,Water Supply at District_7 Sector 22,District_7,Water Supply,95.8,55.6,0.0,52.5,60.7
WRK00063,WRK00394,Drainage at District_6 Sector 4,Drainage at District_6 Sector 19,District_6,Drainage,95.2,45.2,2.9,66.9,60.7
WRK00283,WRK00583,Road Construction at District_10 Sector 3,Road Construction at District_10 Sector 10,District_10,Road Construction,96.4,28.0,89.4,25.5,60.7
WRK00080,WRK00205,School Building at District_11 Sector 38,School Building at District_11 Sector 23,District_11,School Building,97.5,44.3,0.0,66.2,60.7
WRK00334,WRK00436,Drainage at District_10 Sector 29,Drainage at District_10 Sector 28,District_10,Drainage,97.0,74.9,28.2,0.0,60.7
WRK00390,WRK00471,Road Construction at District_8 Sector 35,Road Construction at District_8 Sector 13,District_8,Road Construction,97.6,39.3,0.0,73.2,60.6
WRK00335,WRK00483,School Building at District_3 Sector 8,School Building at District_3 Sector 39,District_3,School Building,96.1,33.8,0.0,84.1,60.6
WRK00169,WRK00421,Irrigation Canal at District_3 Sector 3,Irrigation Canal at District_3 Sector 18,District_3,Irrigation Canal,96.2,51.9,0.0,56.3,60.5
WRK00126,WRK00327,School Building at District_4 Sector 15,School Building at District_4 Sector 20,District_4,School Building,94.9,38.9,0.0,78.0,60.5
WRK00160,WRK00301,Water Supply at District_3 Sector 35,Water Supply at District_3 Sector 5,District_3,Water Supply,98.6,56.8,0.0,44.4,60.4
WRK00317,WRK00526,Community Hall at District_8 Sector 6,Community Hall at District_8 Sector 12,District_8,Community Hall,96.0,32.2,44.6,51.8,60.3
WRK00420,WRK00514,Water Supply at District_4 Sector 7,Water Supply at District_4 Sector 24,District_4,Water Supply,95.8,66.2,0.0,34.5,60.3
WRK00277,WRK00442,Drainage at District_10 Sector 19,Drainage at District_10 Sector 8,District_10,Drainage,95.4,29.0,84.1,28.2,60.3
WRK00054,WRK00099,Drainage at District_9 Sector 14,Drainage at District_9 Sector 25,District_9,Drainage,93.8,71.9,39.5,0.0,60.3
WRK00055,WRK00219,Irrigation Canal at District_1 Sector 22,Irrigation Canal at District_1 Sector 3,District_1,Irrigation Canal,96.2,33.7,59.0,38.5,60.3
WRK00084,WRK00339,Water Supply at District_2 Sector 35,Water Supply at District_2 Sector 28,District_2,Water Supply,94.4,90.8,0.0,0.0,60.3
WRK00212,WRK00534_DUP,Bridge at District_5 Sector 14,Bridge at District_5 Sector 13 Phase,District_5,Bridge,87.9,69.9,0.0,43.1,60.3
WRK00386,WRK00537_DUP,Irrigation Canal at District_5 Sector 32,Irrigation Canal at District_5 Sector 38 Phase,District_5,Irrigation Canal,90.7,39.8,0.0,82.8,60.2
WRK00101,WRK00429,Community Hall at District_4 Sector 7,Community Hall at District_4 Sector 8,District_4,Community Hall,97.3,86.4,0.0,1.4,60.2
WRK00111,WRK00147,Water Supply at District_2 Sector 17,Water Supply at District_2 Sector 16,District_2,Water Supply,97.2,87.3,0.0,0.0,60.2
WRK00056,WRK00319,Water Supply at District_12 Sector 34,Water Supply at District_12 Sector 31,District_12,Water Supply,97.3,77.3,0.0,14.3,60.1
WRK00151,WRK00363,Irrigation Canal at District_3 Sector 34,Irrigation Canal at District_3 Sector 30,District_3,Irrigation Canal,97.5,38.2,0.0,72.5,60.1
WRK00316,WRK00361,Water Supply at District_8 Sector 1,Water Supply at District_8 Sector 2,District_8,Water Supply,97.1,66.7,0.0,30.2,60.1
WRK00324,WRK00476,Anganwadi Center at District_1 Sector 6,Anganwadi Center at District_1 Sector 22,District_1,Anganwadi Center,96.2,29.5,0.0,87.9,60.1
WRK00241,WRK00261,School Building at District_8 Sector 20,School Building at District_8 Sector 18,District_8,School Building,94.9,37.4,0.0,77.9,60.0
